train_loss,val_loss,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,miou,overall_accuracy
1.4765321108011098,2.499572277069092,4.449036191539468e-12,5.4993798866605675e-12,0.24745801091194153,0.005913437499354283,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0393),0.029456456502278645
1.3111716783963716,2.0817195574442544,0.2828364868958791,0.006736250594258308,0.0021189605661978326,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0489),0.04873816172281901
1.235534695478586,1.9003820021947224,4.449036191539468e-12,0.23002747694651285,0.013894347163538137,1.6304112049935562e-05,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0409),0.0391241709391276
1.1784417720941396,6.066911061604817,4.449036191539468e-12,0.23020298779010773,0.0021247422943512597,4.076009444842904e-06,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0389),0.03903897603352865
1.0918692166988666,8.53017807006836,4.449036191539468e-12,0.23020322620868683,0.002142035790408651,4.076009444842904e-06,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0389),0.03903961181640625
1.0650633665231557,5.760965347290039,4.449036191539468e-12,0.22985650102297464,0.00895073606322209,4.075453954265265e-05,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0400),0.03900146484375
1.0810791437442486,10.197375933329264,0.0016913417881975572,0.23007303476333618,0.0021247180799643197,4.076009444842904e-06,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0391),0.03901068369547526
1.0401213535895715,11.761769930521647,4.449036191539468e-12,0.2301927457253138,0.003382074957092603,1.222778711302269e-05,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0391),0.03902371724446615
1.0239238326366131,5.7337086995442705,0.002725164328391353,0.2299357702334722,0.004848802927881479,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0397),0.039048194885253906
1.0094087582368116,4.510398070017497,4.449036191539468e-12,0.22996785740057626,0.010724918295939764,4.076059163886601e-06,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0403),0.03910064697265625
1.007811257472405,6.269575913747151,0.0033902902311335006,0.22996914883454642,2.2453172748053535e-06,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0390),0.03900496164957682
0.9720638807003315,20.782145818074543,4.449036191539468e-12,0.23022969563802084,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0385),0.03905932108561198
0.963900625705719,11.964845339457193,0.0016826706123538315,0.23009991149107614,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0388),0.039031028747558594
0.9740064969429603,5.182370026906331,0.0025352727777014175,0.23003359138965607,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0389),0.039017041524251304
0.9374624261489282,6.5165103276570635,0.0008497288993870219,0.2301403284072876,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0387),0.03904438018798828
0.9600154803349421,2.014161745707194,0.0022557358412692943,0.23022239903608957,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0389),0.039092063903808594
0.9204186017696674,1.9609564940134685,0.008805354125797749,0.2304170827070872,0.0022674217664947114,0.0017201498849317431,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0407),0.039192517598470054
0.9218690670453585,4.288340886433919,0.003990647771085302,0.2300597776969274,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0391),0.03906567891438802
0.9134424466353196,2.2691262563069663,0.008468822110444307,0.2301177034775416,1.5716815400707712e-05,8.423146150478752e-12,6.865465372133765e-11,2.2541508012026885e-11,tensor(0.0399),0.03916390736897787
0.928575167289147,5.51211404800415,0.006654744812597831,0.22974929213523865,5.839472279565531e-12,8.423146150478752e-12,6.929079763666006e-11,2.2541508012026885e-11,tensor(0.0395),0.03910064697265625
