train_loss,val_loss,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,miou,overall_accuracy
0.6516779569479135,0.7723533312479655,0.6174865563710531,0.683612048625946,0.5393911202748617,0.5335166454315186,0.4176043967405955,0.20779855052630106,tensor(0.4896),0.11151472727457683
0.6344660291304955,0.771320124467214,0.6308242479960123,0.6861223578453064,0.5451328953107198,0.47228045264879864,0.4064660469690959,0.22565206388632456,tensor(0.4849),0.11179542541503906
0.6395223690913274,0.7766912380854288,0.6126023729642233,0.6904853781064352,0.5321955382823944,0.5282432834307352,0.39511744181315106,0.17554497718811035,tensor(0.4796),0.11137866973876953
0.6241195935469407,0.7972344954808553,0.6154753367106119,0.6871612469355265,0.5376063187917074,0.45356135567029315,0.35501651962598163,0.19598694642384848,tensor(0.4676),0.11149056752522786
0.6371756654519302,0.7807365457216898,0.6251547932624817,0.6915796796480814,0.5162480771541595,0.5140810410181681,0.39845017592112225,0.18930326402187347,tensor(0.4802),0.11183802286783855
0.6368506092291611,0.7849320967992147,0.6143075426419576,0.7034357786178589,0.5222304662068685,0.49842411279678345,0.3920130829016368,0.1846736321846644,tensor(0.4788),0.11203924814860027
0.6122047580205477,0.7883971730868021,0.6111671328544617,0.6739450097084045,0.5367337862650553,0.46740256746610004,0.40552304188410443,0.1777606209119161,tensor(0.4715),0.11035569508870442
0.6252030867796677,0.7770595749219259,0.6192935903867086,0.6836590766906738,0.5448735555013021,0.49460768699645996,0.4088658392429352,0.21783151725927988,tensor(0.4834),0.11017004648844402
0.6115110356074113,0.7794321378072103,0.6242045164108276,0.6885751883188883,0.5429194370905558,0.4789160092671712,0.4087197482585907,0.22274034718672434,tensor(0.4838),0.11074320475260417
0.6088727666781499,0.7775052984555563,0.6222436229387919,0.69228462378184,0.5461168388525645,0.4563216765721639,0.3844054142634074,0.21120266616344452,tensor(0.4748),0.11035950978597005
0.6193033135854281,0.7635040680567423,0.619736929734548,0.7020681699117025,0.5401982168356577,0.5269022981325785,0.3948497176170349,0.22066881755987802,tensor(0.4904),0.11214605967203777
0.6081176262635452,0.7888827522595724,0.6148029565811157,0.6769540707270304,0.5473267038663229,0.4821131229400635,0.41598190863927204,0.21543248494466147,tensor(0.4824),0.1105051040649414
0.6161545560910151,0.7625622153282166,0.6209063529968262,0.7003158132235209,0.5377350846926371,0.528128961722056,0.4119771718978882,0.207797572016716,tensor(0.4922),0.11247539520263672
0.6090099628155048,0.7596982518831888,0.6265963713328043,0.7015321254730225,0.5503025352954865,0.4836285213629405,0.4289024273554484,0.1897889624039332,tensor(0.4882),0.11221122741699219
0.5975086643145635,0.7577214042345682,0.6263473033905029,0.6999812523523966,0.5415131449699402,0.5280086994171143,0.4206567903359731,0.2147203584512075,tensor(0.4955),0.11235364278157552
